marker,x_pos,y_pos,z_pos,msec,active
1,0.002145,-0.707101,-0.731567,5.373841,0
1,0.002574,-0.706057,-0.711611,5.236424,0
1,0.003094,-0.706172,-0.708656,5.371523,0
1,0.00274,-0.705866,-0.696344,5.375497,0
1,0.002631,-0.705723,-0.691055,5.251656,0
1,0.003239,-0.705801,-0.694029,5.376159,0
1,0.003139,-0.705957,-0.699564,5.37053,0
1,0.003042,-0.706164,-0.705992,5.254967,0
1,0.002835,-0.706364,-0.711113,5.377483,0
1,0.002857,-0.706507,-0.7197,5.382119,0
1,0.002709,-0.706488,-0.720762,5.24702,0
1,0.002555,-0.70656,-0.724157,5.371854,0
1,0.002542,-0.706717,-0.729122,5.376159,0
1,0.002325,-0.706801,-0.736994,5.239404,0
1,0.002047,-0.707127,-0.743645,5.393046,0
1,0.002042,-0.707312,-0.748114,5.372848,0
1,0.00211,-0.708238,-0.763645,5.253973,0
1,0.001616,-0.709166,-0.777676,5.377815,0
1,0.001735,-0.710157,-0.80113,5.360265,0
1,0.001955,-0.71065,-0.823219,5.258278,0
1,0.001762,-0.710792,-0.832056,5.376159,0
1,0.001697,-0.711101,-0.833889,5.391059,0
1,0.001538,-0.710593,-0.83329,5.22351,0
1,0.001888,-0.710857,-0.836702,5.44106,0
1,0.001873,-0.711132,-0.842842,5.354967,0
1,0.002175,-0.710996,-0.841011,5.239073,0
1,0.001968,-0.710836,-0.842808,5.378477,0
1,0.001828,-0.710722,-0.840246,5.371192,0
1,0.002016,-0.710806,-0.852129,5.253643,0
1,0.002284,-0.710922,-0.867964,5.366225,0
1,0.001966,-0.710813,-0.86536,5.362583,0
1,0.002131,-0.710955,-0.875074,5.25,0
1,0.002103,-0.710714,-0.872549,5.358609,0
1,0.002235,-0.710712,-0.873606,5.401987,0
1,0.002421,-0.710773,-0.87796,5.25,0
1,0.002277,-0.710654,-0.879181,5.375828,0
1,0.002275,-0.710333,-0.872814,5.377152,0
1,0.002194,-0.710097,-0.864779,5.251325,0
1,0.002138,-0.709952,-0.859583,5.37351,0
1,0.002022,-0.709468,-0.847372,5.377152,0
1,0.001822,-0.709371,-0.841942,5.249669,0
1,0.001931,-0.709299,-0.832594,5.367218,0
1,0.001719,-0.708907,-0.820366,5.360927,0
1,0.001655,-0.708535,-0.816427,5.257947,0
1,0.00174,-0.708103,-0.810795,5.37351,0
1,0.001767,-0.708182,-0.817734,5.342715,0
1,0.001661,-0.708235,-0.811583,5.308278,0
1,0.001497,-0.708438,-0.806684,5.365232,0
1,0.00127,-0.708362,-0.797855,5.371523,0
1,0.001342,-0.708345,-0.789127,5.251656,0
1,0.001647,-0.708363,-0.782766,5.372517,0
1,0.001812,-0.708172,-0.77813,5.378477,0
1,0.001642,-0.707994,-0.781326,5.254967,0
1,0.001578,-0.708059,-0.782709,5.361589,0
1,0.001566,-0.708158,-0.782608,5.383112,0
1,0.00105,-0.708103,-0.779613,5.249669,0
1,0.001161,-0.708319,-0.785759,5.381457,0
1,0.001157,-0.708469,-0.790876,5.371854,0
1,0.000998,-0.708698,-0.796698,5.251656,0
1,0.000891,-0.708883,-0.802591,5.379801,0
1,0.000833,-0.70915,-0.808693,5.375497,0
1,0.000174,-0.709347,-0.816906,5.251325,0
1,-0.000006,-0.70953,-0.823679,5.375165,0
1,0.000393,-0.709462,-0.825045,5.374503,0
1,0.00015,-0.709877,-0.837852,5.252649,0
1,-0.00002,-0.709651,-0.836637,5.375165,0
1,-0.000255,-0.709308,-0.82757,5.37649,0
1,-0.000263,-0.708749,-0.818695,5.248013,0
1,-0.000244,-0.708054,-0.810978,5.378808,0
1,0.000001,-0.706824,-0.79558,5.373179,0
1,0.000196,-0.705432,-0.780645,5.254304,0
1,-0.000214,-0.704558,-0.778683,5.374503,0
1,-0.001013,-0.70371,-0.774033,5.37649,0
1,-0.000589,-0.703038,-0.767187,5.250662,0
1,-0.00027,-0.701949,-0.748384,5.375828,0
1,0.000205,-0.700642,-0.746351,5.375497,0
1,-0.000255,-0.699119,-0.736538,5.246357,0
1,0.000157,-0.698207,-0.73316,5.379139,0
1,0.000179,-0.697456,-0.744211,5.375165,0
1,-0.000717,-0.696496,-0.734938,5.253973,0
1,0.000061,-0.695966,-0.746817,5.375165,0
1,-0.000342,-0.694697,-0.747427,5.374503,0
1,-0.000423,-0.692933,-0.735117,5.247351,0
1,-0.001905,-0.692021,-0.73288,5.378477,0
1,-0.001673,-0.690884,-0.725073,5.377815,0
1,-0.002078,-0.690081,-0.70768,5.248344,0
1,-0.003008,-0.688875,-0.683256,5.375165,0
1,-0.002158,-0.687656,-0.684805,5.375165,0
1,-0.00167,-0.686295,-0.683077,5.248675,0
1,-0.002844,-0.684606,-0.667904,5.381457,0
1,-0.002109,-0.683725,-0.675083,5.375165,0
1,-0.001441,-0.681899,-0.670683,5.248675,0
1,-0.001385,-0.680888,-0.679592,5.377152,0
1,-0.001466,-0.678109,-0.665934,5.374835,0
1,-0.001674,-0.676951,-0.647375,5.248344,0
1,-0.00139,-0.677247,-0.681059,5.378477,0
1,-0.001497,-0.676784,-0.698677,5.375497,0
1,-0.002257,-0.674609,-0.678295,5.252318,0
1,-0.002295,-0.672825,-0.6807,5.376159,0
1,-0.001584,-0.671405,-0.676561,5.369867,0
1,-0.002313,-0.669531,-0.6731,5.257285,0
1,-0.001915,-0.668341,-0.68767,5.372848,0
1,-0.002268,-0.665615,-0.649208,5.37947,0
1,-0.001695,-0.663403,-0.644457,5.249669,0
1,-0.000675,-0.661316,-0.644857,5.373179,0
1,-0.000961,-0.6572,-0.594492,5.378146,0
1,-0.001433,-0.654174,-0.563038,5.251987,0
1,-0.000245,-0.651424,-0.542561,5.376821,0
1,-0.001041,-0.649811,-0.559832,5.370199,0
1,-0.00167,-0.64824,-0.566698,5.251325,0
1,-0.002029,-0.646165,-0.549234,5.376821,0
1,-0.000719,-0.644126,-0.5515,5.379801,0
1,-0.001882,-0.642345,-0.527977,5.247682,0
1,-0.002511,-0.638745,-0.476984,5.378477,0
1,-0.003197,-0.636637,-0.467701,5.384106,0
1,-0.002536,-0.635636,-0.511497,5.243709,0
1,-0.003785,-0.633671,-0.498186,5.372517,0
1,-0.003799,-0.631851,-0.502079,5.376159,0
1,-0.004861,-0.630102,-0.512239,5.251325,0
1,-0.00422,-0.627834,-0.489782,5.374835,0
1,-0.004068,-0.625726,-0.476278,5.376821,1
1,-0.004277,-0.624114,-0.468782,5.250662,1
1,-0.004942,-0.621826,-0.450159,5.367881,1
1,-0.004985,-0.619864,-0.467682,5.374172,1
1,-0.006503,-0.616804,-0.447426,5.252318,1
1,-0.006053,-0.613692,-0.414204,5.372517,1
1,-0.006518,-0.611225,-0.389492,5.376159,1
1,-0.008425,-0.608033,-0.372614,5.248675,1
1,-0.008672,-0.60642,-0.377916,5.375497,1
1,-0.008201,-0.605065,-0.373316,5.37947,1
1,-0.006632,-0.602933,-0.38949,5.248013,1
1,-0.009275,-0.600869,-0.370237,5.380133,1
1,-0.010705,-0.599259,-0.35873,5.37351,1
1,-0.008695,-0.598026,-0.368088,5.249669,1
1,-0.010667,-0.596003,-0.325777,5.338742,1
1,-0.012738,-0.594485,-0.310663,5.443377,1
1,-0.013951,-0.592151,-0.285513,5.204305,1
1,-0.015073,-0.589684,-0.25849,5.415232,1
1,-0.014925,-0.588641,-0.27524,5.378146,1
1,-0.016376,-0.586577,-0.270252,5.232781,1
1,-0.016706,-0.584765,-0.259319,5.369205,1
1,-0.018565,-0.582817,-0.265493,5.377483,1
1,-0.018775,-0.580291,-0.243671,5.247351,1
1,-0.020627,-0.578157,-0.239639,5.387086,1
1,-0.022461,-0.577491,-0.262266,5.378808,1
1,-0.022888,-0.57625,-0.281958,5.246689,1
1,-0.022623,-0.57478,-0.2932,5.363576,1
1,-0.022616,-0.57249,-0.2955,5.398013,1
1,-0.024967,-0.571364,-0.283487,5.219205,1
1,-0.026909,-0.569037,-0.262764,5.37351,1
1,-0.027244,-0.567065,-0.276329,5.376159,1
1,-0.027556,-0.564947,-0.274317,5.250331,1
1,-0.029635,-0.562098,-0.243011,5.375165,1
1,-0.029548,-0.559987,-0.241135,5.37649,1
1,-0.030486,-0.558396,-0.261173,5.251656,1
1,-0.032237,-0.556763,-0.262369,5.380464,1
1,-0.032241,-0.555151,-0.27446,5.369536,1
1,-0.032134,-0.552484,-0.250643,5.250662,1
1,-0.032096,-0.551286,-0.265596,5.391391,1
1,-0.033288,-0.5486,-0.249914,5.373841,1
1,-0.033487,-0.546966,-0.24139,5.254304,1
1,-0.033399,-0.544558,-0.23263,5.374835,1
1,-0.034167,-0.543029,-0.238638,5.372185,1
1,-0.03463,-0.54031,-0.237885,5.253973,1
1,-0.035026,-0.537211,-0.20295,5.375497,1
1,-0.034042,-0.534421,-0.171074,5.378146,1
1,-0.034361,-0.532138,-0.170523,5.249338,1
1,-0.034925,-0.529264,-0.148529,5.375497,1
1,-0.035245,-0.52753,-0.146694,5.372517,1
1,-0.03479,-0.525555,-0.128683,5.253973,1
1,-0.033558,-0.522308,-0.123728,5.375497,1
1,-0.032184,-0.520343,-0.12859,5.37649,1
1,-0.030159,-0.516142,-0.146246,10.627814,1
1,-0.028278,-0.513835,-0.109173,5.371192,1
1,-0.025887,-0.511601,-0.088131,5.254636,1
1,-0.023494,-0.509791,-0.09144,5.375497,1
1,-0.021274,-0.507032,-0.11322,5.371523,1
1,-0.018375,-0.50386,-0.090853,5.25596,1
1,-0.015472,-0.501771,-0.08716,5.374835,1
1,-0.011777,-0.499485,-0.070444,5.372185,1
1,-0.00905,-0.496582,-0.082539,5.253643,1
1,-0.005837,-0.493033,-0.066322,5.377152,1
1,-0.001965,-0.491277,-0.079546,5.375165,1
1,0.002297,-0.490213,-0.121168,5.250331,1
1,0.006357,-0.488083,-0.131145,5.376821,1
1,0.01025,-0.486439,-0.130583,5.375165,1
1,0.014573,-0.48384,-0.131975,5.250331,1
1,0.019522,-0.480991,-0.12307,5.377483,1
1,0.023306,-0.478232,-0.120508,5.37649,1
1,0.028189,-0.476647,-0.13031,5.248344,1
1,0.033012,-0.474127,-0.128332,5.37649,1
1,0.037852,-0.47242,-0.144245,5.376821,1
1,0.04266,-0.470187,-0.132309,5.249669,1
1,0.048332,-0.467104,-0.104336,5.376159,1
1,0.052807,-0.464508,-0.088772,5.375497,1
1,0.058318,-0.462702,-0.080774,5.250993,1
1,0.062678,-0.460286,-0.06806,5.375165,1
1,0.068567,-0.45795,-0.075054,5.376159,1
1,0.074244,-0.456798,-0.089035,5.251325,1
1,0.079007,-0.4544,-0.085392,5.375165,1
1,0.084775,-0.452175,-0.074255,5.37649,1
1,0.091147,-0.450568,-0.090219,5.249669,1
1,0.097446,-0.449443,-0.115028,5.37649,1
1,0.102808,-0.448621,-0.124022,5.37649,1
1,0.109578,-0.447259,-0.145159,5.254967,1
1,0.114372,-0.445823,-0.135117,5.36755,1
1,0.120108,-0.443746,-0.134987,5.37947,1
1,0.126569,-0.44298,-0.159552,5.250993,1
1,0.132582,-0.441394,-0.158695,5.375165,1
1,0.13863,-0.440329,-0.163679,5.377815,1
1,0.144462,-0.438173,-0.153,5.249669,1
1,0.151362,-0.436352,-0.139849,5.375828,1
1,0.155643,-0.433978,-0.099276,5.375165,1
1,0.162277,-0.432884,-0.101191,5.250331,1
1,0.168347,-0.430425,-0.089003,5.373841,1
1,0.175608,-0.429046,-0.09071,5.382119,1
1,0.181727,-0.427645,-0.087282,5.246689,1
1,0.187398,-0.427177,-0.103596,5.374835,1
1,0.194237,-0.426164,-0.093342,5.376159,1
1,0.200676,-0.424555,-0.103809,5.260265,1
1,0.206531,-0.423171,-0.101887,5.378146,1
1,0.213315,-0.421369,-0.103268,5.376821,1
1,0.21977,-0.421905,-0.136951,5.251987,1
1,0.225886,-0.420825,-0.133162,5.372848,1
1,0.232556,-0.42004,-0.155703,5.377815,1
1,0.239225,-0.419146,-0.162037,5.250662,1
1,0.245072,-0.418184,-0.173676,5.372848,1
1,0.25151,-0.417423,-0.167356,5.37947,1
1,0.258275,-0.415742,-0.167982,5.250662,1
1,0.26522,-0.413956,-0.1982,5.379801,1
1,0.270398,-0.412647,-0.177952,5.370861,1
1,0.276254,-0.412136,-0.177349,5.251987,1
1,0.282159,-0.410568,-0.196653,5.38245,1
1,0.287979,-0.408679,-0.179178,5.36755,1
1,0.293347,-0.408048,-0.187441,5.251987,1
1,0.299188,-0.406277,-0.179062,5.354967,1
1,0.304492,-0.405102,-0.185104,5.375165,1
1,0.309822,-0.40406,-0.201803,5.250993,1
1,0.31483,-0.402857,-0.185867,5.376159,1
1,0.320618,-0.400372,-0.168287,5.364238,1
1,0.324851,-0.399437,-0.171188,5.26192,1
1,0.330635,-0.398125,-0.188448,5.375165,1
1,0.33656,-0.3976,-0.217987,5.375828,1
1,0.34141,-0.397011,-0.248714,5.251987,1
1,0.345031,-0.394856,-0.237713,5.384768,1
1,0.350147,-0.393155,-0.230806,5.375828,1
1,0.353978,-0.391648,-0.224863,5.251325,1
1,0.357787,-0.389234,-0.2122,5.375165,1
1,0.362415,-0.388276,-0.221945,5.37649,1
1,0.365183,-0.386582,-0.213102,5.25,1
1,0.368414,-0.384288,-0.207682,5.377483,1
1,0.373532,-0.382051,-0.2012,5.374503,1
1,0.37719,-0.3794,-0.156008,5.250662,1
1,0.379609,-0.3782,-0.13546,5.375165,1
1,0.381888,-0.375702,-0.105846,5.376821,1
1,0.386346,-0.374221,-0.108793,5.252318,1
1,0.390919,-0.37213,-0.12118,5.374503,1
1,0.393927,-0.370101,-0.118214,5.374835,1
1,0.398212,-0.368323,-0.106611,5.251325,1
1,0.401841,-0.366209,-0.112263,5.375828,1
1,0.404683,-0.36506,-0.117659,5.376159,1
1,0.40909,-0.362914,-0.100172,5.251656,1
1,0.412423,-0.361267,-0.089293,5.374503,1
1,0.415616,-0.359012,-0.08242,5.376159,1
1,0.419297,-0.356227,-0.08638,5.250662,1
1,0.422997,-0.354071,-0.078453,5.37649,1
1,0.425684,-0.352637,-0.084206,5.375497,1
1,0.428603,-0.349686,-0.074385,5.246689,1
